ecoregion,scientific_name,common_name,class,conservation_status,habitat_type,image_url,attribution,description,species_id
Amazon and Guianas,Ranitomeya cyanovittata,,AMPHIBIA,LC,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/4/4e/Ranitomeya_cyanovittata_-_Paulo_Mascaretti_-_489915266.jpeg,Wikimedia Commons,Ranitomeya cyanovittata is a species of frog in the family Dendrobatidae. It is native to Peru and scientists expect it also lives in Brazil.,5634660e-fcac-4fc4-8c03-9a9c1a1c854a
Amazon and Guianas,Adenomera diptyx,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/3/39/Adenomera_diptyx.jpg,Wikimedia Commons,"Adenomera diptyx is a species of frog in the family Leptodactylidae. It is native to northern Argentina, Paraguay, eastern Bolivia, and southern Brazil. It was resurrected from the synonymy of Adenomera hylaedactyla in 1996.",56a0e8f5-e396-47d8-97f7-b543fd6733db
Amazon and Guianas,Itapotihyla langsdorffii,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/1/10/Itapotihyla_langsdorffii02.jpg,Wikimedia Commons,"Itapotihyla is a genus of frogs in the family Hylidae. It is monotypic, being represented by the single species Itapotihyla langsdorffii, commonly known as the ocellated treefrog. It is found in the Atlantic Forest biome of Brazil, with an isolated population in eastern Paraguay and adjacent Brazil and northeastern Argentina.",5f8d1654-d69d-4a4c-aa8a-7db7d59581d1
Arctic Terrestrial,Anguilla anguilla,,ACTINOPTERYGII,CR,Marine,https://upload.wikimedia.org/wikipedia/commons/5/58/Anguilla_anguilla.jpg,Wikimedia Commons,"The European eel is a species of eel. Their life history was a mystery for thousands of years, and mating in the wild has not yet been observed. The five stages of their development were originally thought to be different species. They are critically endangered due to hydroelectric dams, overfishing by fisheries on coasts for human consumption, and parasites.",7ea4a1c4-2483-4b2d-a05f-daac67d0b382
Arctic Terrestrial,Microcondylaea bonellii,,BIVALVIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/2/25/Microcondylaea_bonellii_A_MRKVICKA.jpg,Wikimedia Commons,Microcondylaea bonellii is a species of bivalve belonging to the family Unionidae. The species is endemic to South Europe.,93aa5b92-fa37-4226-bbea-3d906c36cecc
Arctic Terrestrial,Belgrandiella austriana,,GASTROPODA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Belgrandiella austriana is a species of small freshwater snail with a gill and an operculum, an aquatic gastropod mollusk in the family Hydrobiidae.",109de7f7-58cb-4670-8a78-c6120f935bee
Arctic Terrestrial,Belgrandiella parreyssii,,GASTROPODA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/2/24/Naturalis_Biodiversity_Center_-_RMNH.MOL.162528_-_Belgrandiella_parreyssii_%28L._Pfeiffer%2C_1841%29_-_Hydrobiidae_-_Mollusc_shell.jpeg,Wikimedia Commons,"Belgrandiella parreyssi is a species of small freshwater snail with a gill and an operculum, an aquatic gastropod mollusk in the family Hydrobiidae. This species is endemic to Austria where it is found only in one thermal spring at Bad Voeslau, south of Vienna. Due to man made changes of the habitat the population has been decreasing rapidly since the 1970s.",582515bf-e094-48e8-9e98-77ab30e174e3
Arctic Terrestrial,Belgrandiella styriaca,,GASTROPODA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Belgrandiella styriaca is a species of small freshwater snail with a gill and an operculum, an aquatic gastropod mollusk in the family Hydrobiidae.",3d0e8f97-30d3-457d-baac-d6bb4c4ce930
Arctic Terrestrial,Belgrandiella ganslmayri,,GASTROPODA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Belgrandiella ganslmayri is a species of small freshwater snail with a gill and an operculum, an aquatic gastropod mollusk in the family Hydrobiidae.",98077338-0dcd-4c13-aed3-2f266b586ca0
Arctic Terrestrial,Belgrandiella mimula,,GASTROPODA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/b/b9/Belgrandiella_mimula_A_MRKVICKA.JPG,Wikimedia Commons,"Belgrandiella mimula is a species of minute freshwater snail with a gill and an operculum, an aquatic gastropod mollusk in the family Hydrobiidae. This species is endemic to Austria.",522663ce-85ad-4f5d-bdb1-e3f1b0e9165f
Arctic Terrestrial,Belgrandiella pelerei,,GASTROPODA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Belgrandiella pelerei is a species of small freshwater snail with a gill and an operculum, an aquatic gastropod mollusk in the family Hydrobiidae.",13b0ce56-cd9f-4f83-a5a2-2b25c0fa43db
Arctic Terrestrial,Bythinella cylindrica,,GASTROPODA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/0/02/Bythinella_cylindrica_A_MRKVICKA.JPG,Wikimedia Commons,"Bythinella cylindrica is a species of very small freshwater snail, an aquatic gastropod mollusk in the family Amnicolidae. This species is endemic to Austria.",117c6b80-a086-4a8f-ac28-79abcdf33635
Arctic Terrestrial,Microcondylaea bonellii,,BIVALVIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/2/25/Microcondylaea_bonellii_A_MRKVICKA.jpg,Wikimedia Commons,Microcondylaea bonellii is a species of bivalve belonging to the family Unionidae. The species is endemic to South Europe.,fd964647-9aa7-497f-951a-0ca7695f0f37
Arctic Terrestrial,Belgrandia varica,,GASTROPODA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Belgrandia varica is a species of small freshwater snail with an operculum, an aquatic gastropod mollusc or micromollusc in the family Hydrobiidae.",ef101f94-69ce-4783-91b7-f228d7578201
Arctic Terrestrial,Rana pyrenaica,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/f/f6/BennyTrapp_Rana_pyrenaica_Pyren%C3%A4en_Spanien.jpg,Wikimedia Commons,"The Pyrenean frog or Pyrenees frog is a species of frogs in the family Ranidae found in the Pyrenees mountains of France and Spain. Its natural habitats are fast-moving mountain streams and their surroundings. The IUCN lists it as ""endangered"".",ae9f2b60-d341-486a-908b-c5309e6a33a1
Arctic Terrestrial,Anguilla rostrata,,ACTINOPTERYGII,EN,Marine,https://upload.wikimedia.org/wikipedia/commons/a/a7/American_eel_%28Anguilla_rostrata%29_%284015394951%29.jpg,Wikimedia Commons,"The American eel is a facultative catadromous eel found on the eastern coast of North America. Freshwater eels are fish belonging to the elopomorph superorder, a group of phylogenetically ancient teleosts. The American eel has a slender, supple, snake-like body that is covered with a mucus layer, which makes the eel appear to be naked and slimy despite the presence of minute scales. A long dorsal fin runs from the middle of the back and is continuous with a similar ventral fin. Pelvic fins are absent, and relatively small pectoral fins can be found near the midline, followed by the head and gill covers. Variations exist in coloration, from olive green, brown shading to greenish-yellow and light gray or white on the belly. Eels from clear water are often lighter than those from dark, tannic acid streams.",47cded6f-cf20-4d85-abfa-baf1b2a73d1d
Arctic Terrestrial,Austropotamobius pallipes,,MALACOSTRACA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/3/3b/Austropotamobius_pallipes.jpg,Wikimedia Commons,"Austropotamobius pallipes is an endangered European freshwater crayfish, and the only crayfish native to the British Isles. Its common names include white-clawed crayfish and Atlantic stream crayfish.",8add0f93-aab0-4eeb-9cc7-e6c5bb4316ed
Arctic Terrestrial,Austropotamobius pallipes,,MALACOSTRACA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/3/3b/Austropotamobius_pallipes.jpg,Wikimedia Commons,"Austropotamobius pallipes is an endangered European freshwater crayfish, and the only crayfish native to the British Isles. Its common names include white-clawed crayfish and Atlantic stream crayfish.",6b83ca4e-7d36-4ae1-9ade-a65ca0f38954
Arctic Terrestrial,Belgrandiella wawrai,,GASTROPODA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/8/88/Belgrandiella_wawrai_A_MRKVICKA.JPG,Wikimedia Commons,"Belgrandiella wawrai is a species of small freshwater snail with a gill and an operculum, an aquatic gastropod mollusk in the family Hydrobiidae. This species is endemic to Austria.",094d5e33-c6b8-48b6-9f6e-d3acedb483ae
Arctic Terrestrial,Bythinella carinulata,,GASTROPODA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/b/b7/Erhaia_%2810.3897-zookeys.679.13326%29_Figure_3.jpg,Wikimedia Commons,"Bythinella carinulata is a species of very small freshwater snail, an aquatic gastropod mollusk in the family Amnicolidae.",8f35854e-f919-43fe-ab69-3f768138e96b
Arctic Terrestrial,Bythinella bavarica,,GASTROPODA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/6/61/Bythinella_bavarica_A_MRKVICKA.JPG,Wikimedia Commons,"Bythinella bavarica is a species of very small freshwater snail, an aquatic gastropod mollusk in the family Amnicolidae. This species is endemic to Germany.",1a129d30-0c1d-4d93-9fda-aa35a84809d1
Arctic Terrestrial,Graziana klagenfurtensis,,GASTROPODA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Graziana klagenfurtensis is a species of small freshwater snails with an operculum, aquatic gastropod molluscs or micromolluscs in the family Hydrobiidae.",042c8323-e40a-448a-9e9c-c91fa2f01c75
Arctic Terrestrial,Hauffenia kerschneri,,GASTROPODA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Hauffenia kerschneri is a species of small freshwater snails with an operculum, an aquatic gastropod mollusc or micromollusc in the family Hydrobiidae.",1605c6dc-b5ff-4309-b78a-de9407f92573
Arctic Terrestrial,Hauffenia wienerwaldensis,,GASTROPODA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Hauffenia wienerwaldensis is a species of small freshwater snail with an operculum, an aquatic gastropod mollusc or micromollusc in the family Hydrobiidae.",9a4c13fb-b973-4ba6-a58f-edeef279ff69
Arctic Terrestrial,Margaritifera margaritifera,,BIVALVIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/e/ed/Margaritifera_margaritifera-buiten.jpg,Wikimedia Commons,"The freshwater pearl mussel is an endangered species of freshwater mussel, an aquatic bivalve mollusc in the family Margaritiferidae.",d7ce17c6-a40f-4660-8b8c-a79583cf2c4f
Arctic Terrestrial,Salamandra salamandra,,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/1/1b/Salamandra_salamandra_MHNT_1.jpg,Wikimedia Commons,The fire salamander is a common species of salamander found in Europe.,f6195d53-f21d-4804-8ab2-6255e0df3759
Arctic Terrestrial,Pelobates cultripes,,AMPHIBIA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/e/e7/Pelobates_cultripes_JLH_ad.jpg,Wikimedia Commons,"Pelobates cultripes is a toad species in the family Pelobatidae. It is known under many different common names, including the western spadefoot, Iberian spadefoot toad, Spanish spadefoot toad, and Wagler's spadefoot toad. It is found in most of the Iberian Peninsula with isolated populations southern and western France.",01b3141d-517d-4a84-8bff-a9860b99362a
Arctic Terrestrial,Umbrina cirrosa,,ACTINOPTERYGII,VU,Marine,https://upload.wikimedia.org/wikipedia/commons/b/b8/Umbrina_cirrosa_Acquario_di_Genova.jpg,Wikimedia Commons,"Umbrina cirrosa, the shi drum, is a species of marine fish from the warmer waters of the eastern Atlantic Ocean, Mediterranean Sea and the Black Sea. It is a commercially important species which is trawled for and farmed in aquaculture, as well as being a species pursued by anglers and spear fishermen for sport. The alternative vernacular names are gurbell, sea crow, bearded umbrine and corb.",ac0ddd5a-c233-4089-83ee-b278b31fa8d5
Arctic Terrestrial,Astacus astacus,,MALACOSTRACA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/4/4f/Astacus_astacus_male.jpg,Wikimedia Commons,"Astacus astacus, the European crayfish, noble crayfish, or broad-fingered crayfish, is the most common species of crayfish in Europe, and a traditional food source. Like other true crayfish, A. astacus is restricted to fresh water, living only in unpolluted streams, rivers, and lakes. It is found from France throughout Central Europe, to the Balkan Peninsula, and north as far as Scandinavia and Finland, and Eastern Europe. Males may grow up to 16 cm (6 in) long, and females up to 12 centimetres.",5b2f048c-d94b-4b09-b3ce-2023dee571fd
Arctic Terrestrial,Astacus astacus,,MALACOSTRACA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/4/4f/Astacus_astacus_male.jpg,Wikimedia Commons,"Astacus astacus, the European crayfish, noble crayfish, or broad-fingered crayfish, is the most common species of crayfish in Europe, and a traditional food source. Like other true crayfish, A. astacus is restricted to fresh water, living only in unpolluted streams, rivers, and lakes. It is found from France throughout Central Europe, to the Balkan Peninsula, and north as far as Scandinavia and Finland, and Eastern Europe. Males may grow up to 16 cm (6 in) long, and females up to 12 centimetres.",b26a9e7c-1962-4434-af35-04793bd59140
Arctic Terrestrial,Belgrandiella fuchsi,,GASTROPODA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Belgrandiella fuchsi is a species of small freshwater snail with a gill and an operculum, an aquatic gastropod mollusk in the family Hydrobiidae.",82c58cd3-a40d-4945-937b-d140f7ff13de
Arctic Terrestrial,Bythinella padiraci,,GASTROPODA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/b/b7/Erhaia_%2810.3897-zookeys.679.13326%29_Figure_3.jpg,Wikimedia Commons,"Bythinella padiraci is a species of very small freshwater snail, an aquatic gastropod mollusk in the family Amnicolidae.",46b9e7bc-7d1f-430e-a3fa-a508f2530c74
Arctic Terrestrial,Alzoniella junqua,,GASTROPODA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/9/90/Alzoniella_junqua_001.jpg,Wikimedia Commons,"Alzoniella junqua is a species of very small aquatic snail, a spring snail, an operculate gastropod mollusc in the family Hydrobiidae.",394e02c4-9c1a-42f9-babf-c8945edfe41a
Arctic Terrestrial,Alzoniella cornucopia,,GASTROPODA,VU,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Alzoniella cornucopia is a species of very small aquatic snail, a spring snail, an operculate gastropod mollusc in the family Hydrobiidae.",80114894-f633-4e24-a3e8-b8e0b39b60e4
Arctic Terrestrial,Chioglossa lusitanica,,AMPHIBIA,NT,Freshwater,https://upload.wikimedia.org/wikipedia/commons/4/45/Chioglossa_lusitanica.005_-_Fragas_do_Eume.jpg,Wikimedia Commons,"The gold-striped salamander or golden-striped salamander is a species of salamander in the family Salamandridae. It is the only species of the genus Chioglossa. It is found in the north-west of Iberia at an altitude of up to 1,300 m. It is threatened by habitat loss.",76f850a6-5f8b-405b-bd08-acb79f13a45a
Arctic Terrestrial,Sciaena umbra,,ACTINOPTERYGII,NT,Marine,https://upload.wikimedia.org/wikipedia/commons/c/cb/Sciaena_umbra.jpg,Wikimedia Commons,"The brown meagre or corb is a species of marine ray-finned fish belonging to the family Sciaenidae, the drums and croakers. This species found in, the eastern Atlantic, Mediterranean Sea and Black Sea occurring in shallow waters and sandy bottoms. It is harvested for human consumption, especially in the Mediterranean.",882d3260-7a78-478b-91e9-2a6922dd42a0
Arctic Terrestrial,Potamon ibericum,,MALACOSTRACA,NT,Freshwater,https://upload.wikimedia.org/wikipedia/commons/b/be/Potamon_ibericus_%281%29.JPG,Wikimedia Commons,"The Iberian freshwater crab is a Eurasian species of freshwater crab. It is an omnivore that feeds on land, but returns regularly to the water, and can survive short periods of drought in burrows and under stones. Its natural range stretches from north-eastern Greece, around both sides of the Black Sea and to beyond the Caspian Sea; populations have also been introduced to southern France. It is included as a near threatened species on the IUCN Red List, and is included in the Red Data Book for Ukraine.",8327ff8f-b3c3-45f5-8a26-1233f7a4216d
Arctic Terrestrial,Alzoniella hartwigschuetti,,GASTROPODA,NT,Freshwater,https://upload.wikimedia.org/wikipedia/commons/a/a6/Alzoniella_hartwigschuetti_001.jpg,Wikimedia Commons,"Alzoniella hartwigschuetti is a species of spring snail, an aquatic gastropod in the family Hydrobiidae.",a129c277-16db-45f1-b4c1-f4b58e07dfe4
Arctic Terrestrial,Bythinella badensis,,GASTROPODA,NT,Freshwater,https://upload.wikimedia.org/wikipedia/commons/b/b7/Erhaia_%2810.3897-zookeys.679.13326%29_Figure_3.jpg,Wikimedia Commons,"Bythinella badensis is a species of very small freshwater snail, an aquatic gastropod mollusk in the family Amnicolidae.",754b729e-cd53-4f32-94ac-88ec1b65addf
Arctic Terrestrial,Fissuria boui,,GASTROPODA,NT,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Fissuria boui is a species of small freshwater snails with a gill and an operculum, aquatic gastropod molluscs in the family Hydrobiidae.",f4511628-22fa-40e5-be65-b19b9f18d2bc
Arctic Terrestrial,Avenionia roberti,,GASTROPODA,NT,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/76/P_antipodarum.jpg,Wikimedia Commons,"Avenionia roberti is a species of small freshwater snail with a gill and an operculum, an aquatic gastropod mollusk or micromollusk in the family Hydrobiidae.",fa7bcb1c-878d-4aec-a06a-fba29bc6cde7
Arctic Terrestrial,Bombina variegata,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/6/63/Bombina_variegata_Weinsberg_20070707_3_crop.jpg,Wikimedia Commons,"The yellow-bellied toad belongs to the order Anura, the archaeobatrachial family Bombinatoridae, and the genus of fire-bellied toads. The toad is distributed mainly across western Europe as well as a handful of countries in eastern Europe. While the population of the toad is steadily decreasing over time, its numbers are not critical enough to be considered threatened or extinct. Conservation efforts in Germany are taking place to remedy the declining population before it is too late.",05e30dfe-273c-43fc-bbaf-f3a9c1aa11f8
Arctic Terrestrial,Derichthys serpentinus,,ACTINOPTERYGII,LC,Marine,https://upload.wikimedia.org/wikipedia/commons/0/06/Derichthys_serpentinus_with_prey.jpg,Wikimedia Commons,"The narrownecked oceanic eel, Derichthys serpentinus, is a longneck eel, the only species in the genus Derichthys, found in all oceans in depths between 500 and 2,000 m. Their length is up to 40 centimetres.",06f3e268-4a9f-4cb5-b414-f5426ad023bb
Arctic Terrestrial,Rana italica,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/0/0a/Rana_italica.jpg,Wikimedia Commons,"The Italian stream frog, also called the Italian frog, is a species of frog in the family Ranidae. The species is endemic to Italy and San Marino.",09835579-cb23-45a6-88ad-6c63411ac5e0
Arctic Terrestrial,Muraena helena,,ACTINOPTERYGII,LC,Marine,https://upload.wikimedia.org/wikipedia/commons/4/4e/Morena_del_Mediterr%C3%A1neo_%28Muraena_helena%29%2C_Regga%2C_Gozo%2C_Malta%2C_2021-08-23%2C_DD_14.jpg,Wikimedia Commons,The Mediterranean moray is a species of fish in the moray eel family. It has a long eel-like body and is found in the eastern Atlantic Ocean and Mediterranean Sea. Its bite can be dangerous to humans.,1c08bcd2-e6ae-4f33-8955-e6e8c76fd660
Arctic Terrestrial,Ichthyosaura alpestris,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/6/6b/Uhandre_goimenditarra.jpg,Wikimedia Commons,"The alpine newt is a species of newt native to continental Europe and introduced to Great Britain and New Zealand. Adults measure 7–12 cm (2.8–4.7 in) and are usually dark grey to blue on the back and sides, with an orange belly and throat. Males are more conspicuously coloured than the drab females, especially during breeding season.",1f2be0d7-a6bd-4f22-8e54-1342b601533d
Arctic Terrestrial,Pseudacris crucifer,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/a/ad/H_crucifer_USGS.jpg,Wikimedia Commons,"The spring peeper is a small chorus frog widespread throughout the eastern United States and Canada. It prefers permanent ponds due to its advantage in avoiding predation; however, it is very adaptable with respect to the habitat it can live in. In northern regions, the frog is able to endure below freezing temperatures due to the capacity of its liver to exude and flush the bloodstream with a glucose cryoprotectant which acts both as an anti-freeze in its blood, and allows organs like the heart to enter into a state of protected dormancy. The peeper earned its name from its chirping call, which marks the beginning of spring. Crucifer is derived from the Latin root meaning ""cross-bearing"", a reference to the cross-like pattern on the spring peeper's dorsal side.",212ef43a-c91e-4611-afd1-0073250e2824
Arctic Terrestrial,Ilyophis arx,,ACTINOPTERYGII,LC,Marine,https://upload.wikimedia.org/wikipedia/commons/a/ac/Anguilla_anguilla_%28Pieni%29.jpg,Wikimedia Commons,Ilyophis arx is an eel in the family Synaphobranchidae (cutthroat eels).,21764f70-08fc-47ba-9a96-4e5ff012ff34
Arctic Terrestrial,Pontastacus leptodactylus,,MALACOSTRACA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/7c/Astacus_leptodactylus_Blausteinsee_05.jpg,Wikimedia Commons,"Pontastacus leptodactylus, the Danube crayfish, Galician crayfish, Turkish crayfish or narrow-clawed crayfish, is a relatively large and economically important species of crayfish. It is native to fresh and brackish waters in Eastern Europe and Western Asia, mainly in the Pontic–Caspian region. It can also be found in areas including the basins of the Black Sea, and the Danube, Dnieper, Don, and Volga rivers, as well as aquatic systems in Turkey. It has spread widely beyond its native range, beginning in the 1700s when it spread via canals constructed in western Russia and since the 1900s through introductions to many regions for human consumption. Today it is widespread throughout much of Europe.",29140b07-3769-4426-8424-3ced771ba398
Arctic Terrestrial,Triturus dobrogicus,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/1/12/Triturus_dobrogicus.jpg,Wikimedia Commons,"The Danube crested newt or Danube newt is a species of newt found in central and eastern Europe, along the basin of the Danube river and some of its tributaries and in the Dnieper delta. It has a smaller and more slender body than the other crested newts in genus Triturus but like these, males develop a conspicuous jagged seam on back and tail during breeding season.",2cad01b4-7592-4656-9e63-6f384a9eaf1c
Arctic Terrestrial,Dysomma brevirostre,,ACTINOPTERYGII,LC,Marine,https://upload.wikimedia.org/wikipedia/commons/a/ac/Anguilla_anguilla_%28Pieni%29.jpg,Wikimedia Commons,"Dysomma brevirostre, the pignosed arrowtooth eel or batnose eel, is an eel in the family Synaphobranchidae (cutthroat eels).",2d0990cc-024a-46a7-b8d2-3663baa4fa4b
Arctic Terrestrial,Bombina bombina,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/3/31/Bombina_bombina_1_%28Marek_Szczepanek%29.jpg,Wikimedia Commons,"The European fire-bellied toad is a species of fire-bellied toad native to eastern parts of mainland Europe, where it can be found near waterbodies such as ponds and marshes. It is known for its red colored belly used to ward off predators, an example of aposematism, and its distinctive ""whoop"" call.",33593060-8c0f-4fae-a86a-8bb4eecd8e81
Arctic Terrestrial,Echelus myrus,,ACTINOPTERYGII,LC,Marine,https://upload.wikimedia.org/wikipedia/commons/d/dc/M.E._Blochii_Systema_ichthyologiae_iconibus_CX_illustratum_%281801%29_%2814579737460%29.jpg,Wikimedia Commons,"The painted eel is an eel in the family Ophichthidae. It was described by Carl Linnaeus in 1758, originally under the genus Muraena. It is a marine, subtropical eel which is known from the eastern Atlantic Ocean, including the Bay of Biscay, the Republic of Congo, and the Mediterranean. It dwells at a depth range of 3 to 12 metres, and inhabits burrows formed in sand and mud sediments in coastal lagoons and estuaries. Males can reach a maximum total length of 100 centimetres (39 in), but more commonly reach a TL of 60 centimetres (24 in).",3fe811de-d674-44c3-9236-e37d230de350
Arctic Terrestrial,Orconectes limosus,,MALACOSTRACA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/e/e3/Kamberkrebs_spiny-cheek_crayfish_Orconectes_limosus_male.jpg,Wikimedia Commons,"Faxonius limosus, synonym Orconectes limosus, is a species of crayfish in the family Cambaridae. It is native to the east coast of North America, from Quebec to the lower James River, Virginia, but has also been introduced to Europe. It is known commonly as the spinycheek crayfish or Kamberkrebs in German.",44b4b440-06b6-47da-a717-bdbaa7e13927
Arctic Terrestrial,Eurypharynx pelecanoides,,ACTINOPTERYGII,LC,Marine,https://upload.wikimedia.org/wikipedia/commons/d/db/Eurypharynx_pelecanoides.jpg,Wikimedia Commons,"The pelican eel is a deep-sea eel. It is the only known member of the genus Eurypharynx and the family Eurypharyngidae. The species belongs to the ""saccopharyngiforms"", members of which were historically placed in their own order, but are now considered true eels in the order Anguilliformes. The pelican eel has been described by many synonyms, yet nobody has been able to demonstrate that more than one species of pelican eel exists. It is also referred to as the gulper eel, pelican gulper, and umbrella-mouth gulper. The specific epithet pelecanoides refers to the pelican, as the fish's large mouth is reminiscent of that of the pelican.",4570ed20-5fe2-49dd-ba9c-270405d05cf8
Arctic Terrestrial,Pelophylax ridibundus,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/e/ea/Marsh_frog_%28Pelophylax_ridibundus%29.jpg,Wikimedia Commons,The marsh frog is a species of water frog native to Europe and parts of western Asia.,459d686a-1414-4c3d-90dc-6c88b1de882e
Arctic Terrestrial,Conus ventricosus,,GASTROPODA,LC,Marine,https://upload.wikimedia.org/wikipedia/commons/b/bb/Conus_ventricosus_1.jpg,Wikimedia Commons,"Conus ventricosus, common name the Mediterranean cone, is a species of sea snail, a marine gastropod mollusk in the family Conidae, the cone snails and their allies.Conus ventricosus mediterraneus Hwass in Bruguière, 1792, is a recognized subspecies.",45e44726-b78f-4dde-8e2f-5849f14accea
Arctic Terrestrial,Gymnothorax unicolor,,ACTINOPTERYGII,LC,Marine,https://upload.wikimedia.org/wikipedia/commons/1/14/Gymnothorax_unicolor_458945708.jpg,Wikimedia Commons,The brown moray eel is a species of moray eel found in the eastern Atlantic Ocean and Mediterranean. It was first named by Delaroche in 1809.,468426ac-f6fe-4168-bce4-7b7d98932f31
Arctic Terrestrial,Bufotes boulengeri,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/1/11/Pseudepidalea_boulengeri.jpg,Wikimedia Commons,"The African green toad is a species of toad found in North Africa from Morocco to Egypt, and on the Italian islands of Sicily, Favignana, Lampedusa and Ustica. The populations on the Italian islands were described as a separate species, the Sicilian green toad, in 2008, but more recent authorities treat it as a subspecies of the African green toad because they are very closely related. Both were historically included in the European green toad and all have been included in the genus Bufo. It was previously suggested that the African green toad might range east into Sinai and the Levant, but a review has shown that this involves the related B. sitibundus. The African green toad is found from coastal areas to highland plateaus in forests, scrubland, grassland, semi-deserts and deserts; it breeds in temporary ponds and similar habitats.",53df8a80-d601-4973-9a8b-65656e498f37
Arctic Terrestrial,Gnathophis mystax,,ACTINOPTERYGII,LC,Marine,https://upload.wikimedia.org/wikipedia/commons/c/c2/Gnathophis_mystax.jpg,Wikimedia Commons,"Gnathophis mystax, the thinlip conger or blacktailed conger, is an eel in the family Congridae. It was described by François Étienne Delaroche in 1809, originally under the genus Muraena. It is a subtropical, marine eel which is known from the eastern Atlantic Ocean, including southern Portugal, the Mediterranean, and Morocco. It dwells at a depth range of 75–800 metres, and inhabits mud and sand on the continental slope. Males can reach a maximum total length of 60 centimetres, but more commonly reach a TL of 35 centimetres.",548d793d-d6b3-4234-92ce-55f7b5d12968
Arctic Terrestrial,Bombina variegata,,AMPHIBIA,LC,Freshwater,https://upload.wikimedia.org/wikipedia/commons/6/63/Bombina_variegata_Weinsberg_20070707_3_crop.jpg,Wikimedia Commons,"The yellow-bellied toad belongs to the order Anura, the archaeobatrachial family Bombinatoridae, and the genus of fire-bellied toads. The toad is distributed mainly across western Europe as well as a handful of countries in eastern Europe. While the population of the toad is steadily decreasing over time, its numbers are not critical enough to be considered threatened or extinct. Conservation efforts in Germany are taking place to remedy the declining population before it is too late.",59f4d06d-c67a-437d-9309-943bbda2b2f9
